year_month,total_weight_kg,total_weight_ton,total_value_usd,avg_unit_price_usd_per_kg,n_countries
2024-01,16411523,16411.5,63689214,3.881,35
2024-02,11872546,11872.5,46798141,3.942,34
2024-03,12354574,12354.6,51237638,4.147,40
2024-04,15531561,15531.6,65943600,4.246,38
2024-05,13641384,13641.4,61679698,4.522,40
2024-06,14291286,14291.3,68396446,4.786,33
2024-07,16792784,16792.8,87101479,5.187,40
2024-08,16903471,16903.5,87245852,5.161,39
2024-09,12209747,12209.7,64070797,5.248,36
2024-10,16400054,16400.1,90136372,5.496,39
2024-11,11031147,11031.1,62155665,5.635,36
2024-12,11902857,11902.9,69642521,5.851,38
2025-01,11803313,11803.3,68373619,5.793,34
2025-02,15134301,15134.3,91377485,6.038,37
2025-03,14133048,14133.0,96110300,6.8,41
2025-04,16900816,16900.8,128293662,7.591,38
2025-05,15456568,15456.6,123275633,7.976,42
2025-06,15618260,15618.3,123006585,7.876,42
2025-07,15698304,15698.3,119978202,7.643,38
2025-08,13432979,13433.0,103212579,7.684,38
2025-09,14068186,14068.2,102996594,7.321,47
2025-10,12747957,12748.0,94638848,7.424,36
2025-11,11203476,11203.5,80304246,7.168,42
2025-12,11223870,11223.9,80869692,7.205,43
2026-01,10591589,10591.6,75008715,7.082,40
2026-02,11699757,11699.8,83053518,7.099,42
2026-03,12141936,12141.9,89824323,7.398,36
2026-04,13610364,13610.4,93516269,6.871,38
