year_month,region,item_code,item_name,measure,value,unit,source
2024-01,전국,B01A02101,커피,소비자물가지수,124.46,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2024-02,전국,B01A02101,커피,소비자물가지수,123.94,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2024-03,전국,B01A02101,커피,소비자물가지수,123.55,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2024-04,전국,B01A02101,커피,소비자물가지수,124.78,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2024-05,전국,B01A02101,커피,소비자물가지수,124.27,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2024-06,전국,B01A02101,커피,소비자물가지수,124.24,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2024-07,전국,B01A02101,커피,소비자물가지수,123.29,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2024-08,전국,B01A02101,커피,소비자물가지수,124.98,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2024-09,전국,B01A02101,커피,소비자물가지수,123.6,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2024-10,전국,B01A02101,커피,소비자물가지수,124.9,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2024-11,전국,B01A02101,커피,소비자물가지수,124.43,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2024-12,전국,B01A02101,커피,소비자물가지수,133.62,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2025-01,전국,B01A02101,커피,소비자물가지수,134.59,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2025-02,전국,B01A02101,커피,소비자물가지수,133.72,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2025-03,전국,B01A02101,커피,소비자물가지수,133.83,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2025-04,전국,B01A02101,커피,소비자물가지수,134.74,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2025-05,전국,B01A02101,커피,소비자물가지수,134.66,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2025-06,전국,B01A02101,커피,소비자물가지수,139.67,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2025-07,전국,B01A02101,커피,소비자물가지수,142.87,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2025-08,전국,B01A02101,커피,소비자물가지수,143.19,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2025-09,전국,B01A02101,커피,소비자물가지수,142.85,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
2025-10,전국,B01A02101,커피,소비자물가지수,143.2,2020＝100,"KOSIS OpenAPI (통계청 소비자물가지수, 전국 품목별)"
